⺁	px
𭾣	ov
𭾤	od
𭾦	os
𭾨	ok
𭾩	ol po
𭾪	sp
𭾰	ow
𭾱	sy
𭾵	og
𭾶	oj
𭾷	ov
𭾿	og
𭿀	do oy
𭿁	ov
𭿃	co
𭿆	oe
𭿇	oi
𭿈	oh
𭿉	oh
𭿋	kk
𭿌	bo oy
𭿍	ov
𭿐	io ou
𭿑	ob
𭿓	pf
𭿙	op
𭿜	oj
𭿟	oa
𭿡	ks
𭿢	og
𭿤	ou
𭿦	ou
𭿩	oa uo
𭿪	oy
𭿫	og
𭿬	ob
𭿭	oh
𭿮	oj
𭿲	op yo
𭿳	ol
𭿶	xp
𭿷	mk
𭿸	mb
𭿺	mm
𭿻	mb
𭿼	mn
𭿿	hu uh
𮀀	uq
𮀁	ui
𮀂	ug
𮀇	mu ui
𮀈	yu
𮀏	up
𮀐	um
𮀒	uv vu
𮀓	un
𮀔	uu
𮀕	uk
𮀗	ua
𮀛	ud
𮀠	ub
𮀡	ul
𮀢	uv
𮀤	ul
𮀥	ur
𮀩	ug
𮀪	ug
𮀮	ub
𮀯	bu uw
𮀰	uv vu
𮀱	bu uw
𮀲	uh
𮀳	uk
𮀴	uj
𮀵	um
𮀶	uu
𮀸	uw
𮀺	uy
𮀻	un
𮀼	us
𮀽	ua
𮀿	uq
𮁀	uh
𮁂	ui
𮁃	ub
𮁄	um
𮁆	ur
𮁇	ud
𮁉	uy
𮁊	um
𮁋	ud
𮁌	um
𮁍	uv
𮁎	uv
𮁏	uu
𮁒	um
𮁘	uv
𮁙	un
𮁚	uy
𮁝	ju uj
𮁟	us
𮁠	um
𮁣	ul
𮁤	uw wu
𮁧	uc
𮁨	ru ub
𮁩	uk
𮁪	ui
𮁫	un
𮁬	uj
𮁭	ug
𮁮	ue
𮁯	uk
𮁰	uy
𮁱	ur
𮁲	uz
𮁳	ud
𮁴	ux
𮁶	la ua
𮁷	uh
𮁸	ub uu
𮁹	du uy
𮁺	uy
𮁻	ux
𮁼	ua
𮁽	uy
𮁾	uy
𮂀	uj
𮂁	uk
𮂄	bh uh
𮂅	ux
𮂇	ux
𮂈	ut
𮂊	ut
𮂎	uu
𮂏	uq
𮂑	uv vu
𮂒	uz
𮂔	ut
𮂚	ux
𮂜	up
𮂞	uc
𮂟	uq
𮂠	ub
𮂡	ub
𮂢	uy
𮂤	jp
𮂦	um
𮂧	uv
𮂨	un
𮂩	ul
𮂫	uf
𮂬	sx uk
𮂭	yw
𮂮	py
𮂯	hu
𮂰	he
𮂱	hy
𮂲	ht
𮂶	hu
𮂷	hd td
𮂹	hw
𮂺	hy
𮂾	hx
𮂿	hv
𮃁	hy
𮃄	hd
𮃅	hi
𮃆	hy
𮃇	hq
𮃊	hu
𮃋	hy
𮃌	hm
𮃎	he
𮃏	hy
𮃐	hx
𮃑	hm
𮃔	hv
𮃕	hf
𮃖	hw
𮃗	hp
𮃘	hi
𮃙	hi
𮃚	hq
𮃛	ho
𮃜	hh
𮃝	hb
𮃡	hm
𮃢	ho qo
𮃣	hy
𮃥	hg
𮃪	ht
𮃫	ht
𮃬	hu
𮃭	hv
𮃯	hx
𮃰	hc rh
𮃱	hl
𮃲	vj
𮃴	hx
𮃵	hl
𮃶	hq
𮃷	hm
𮃸	xq
𮃾	xy
𮄁	xd
𮄂	xj
𮄄	xq
𮄅	xm
𮄆	xw
𮄊	xq
𮄋	xt
𮄌	xv
𮄍	xi
𮄎	xy
𮄑	xg
𮄒	xf
𮄓	xl
𮄔	xg
𮄕	xu
𮄗	xi
𮄘	xy
𮄙	xl
𮄚	xu
𮄜	xs
𮄝	xy
𮄟	xj
𮄠	xl
𮄡	xv
𮄣	xs
𮄤	xq
𮄥	xm
𮄧	lc
𮄮	lx
𮄴	vj
𮄶	ly
𮄷	ly
𮄹	lj
𮄽	nl ln
𮄿	ll
𮅀	vq
𮅁	vb
𮅂	ve
𮅅	vt
𮅆	vb
𮅉	vc
𮅌	vx
𮅎	vn
𮅏	vp
𮅐	vg
𮅓	vb
𮅔	vy
𮅕	vd
𮅖	vv
𮅙	ve
𮅚	vu
𮅜	vh
𮅟	vf
𮅦	vl
𮅩	vp
𮅫	vy
𮅬	vh
𮅭	vj
𮅯	vq
𮅰	vg
𮅱	vk
𮅲	vl
𮅷	ve
𮅹	bh
𮅺	vy
𮅻	va
𮅼	vv
𮅽	vq
𮅾	vo
𮆀	vx
𮆄	vw
𮆆	vq
𮆇	vf
𮆉	vj
𮆊	vm
𮆋	vd
𮆏	vl
𮆐	vh
𮆔	vb
𮆖	vw
𮆘	vf
𮆛	vb
𮆜	vq
𮆝	vu
𮆟	vp
𮆢	vs
𮆥	vm
𮆦	vv
𮆧	vx
𮆨	vt
𮆪	vb
𮆫	vb
𮆬	vd
𮆭	vb
𮆮	vp
𮆰	vb
𮆱	vz
𮆲	vp
𮆴	vh
𮆷	vs
𮆺	vm
𮆻	vy
𮆼	vz
𮆾	vh
𮆿	vl
𮇁	vd
𮇂	vx vg
𮇊	mx
𮇋	ms
𮇐	mv
𮇒	mj
𮇓	mp wm
𮇕	mj
𮇖	mv
𮇗	ma
𮇘	mz
𮇛	mb
𮇜	mg
𮇝	my
𮇞	mx
𮇠	md
𮇢	mj
𮇣	md
𮇤	ml
𮇦	mx vm
𮇧	mp
𮇩	mu
𮇬	mr vm
𮇮	mj
𮇰	mh
𮇱	md
𮇲	mx
𮇳	ma
𮇶	ml
𮇷	my
𮇹	mm
𮇻	mx
𮇽	cm md
𮇿	mx
𮈀	im mu
𮈃	sj
𮈄	sw
𮈆	sy
𮈇	sz
𮈊	sb
𮈋	ks sk
𮈌	sv
𮈍	gs sg
𮈏	ps sd
𮈐	sy
𮈑	fs sr
𮈔	sx
𮈕	sb
𮈗	sg
𮈘	sw
𮈙	sd
𮈚	sv
𮈛	sr us
𮈜	sm
𮈟	sm
𮈢	sx
𮈣	sv
𮈥	sw
𮈦	sw
𮈧	sn
𮈨	so
𮈪	sd
𮈬	sw
𮈭	se
𮈮	sj
𮈯	sx
𮈱	sd
𮈲	sb
𮈳	sy
𮈴	sb
𮈵	sm
𮈸	sb
𮈺	sh
𮈻	sh
𮈼	si
𮈽	sj
𮈾	sx
𮈿	sj
𮉀	su
𮉂	sv
𮉄	sj
𮉈	sh
𮉌	sy
𮉎	st
𮉐	sh
𮉑	sy
𮉔	rs
𮉖	sj
𮉗	sm
𮉙	si
𮉚	sl
𮉛	sq
𮉝	sb
𮉞	sl
𮉟	sl
𮉠	sj
𮉡	sl
𮉢	su
𮉣	sv
𮉤	sg
𮉦	sw
𮉧	sl
𮉨	sw sn
𮉩	sz
𮉪	sq
𮉫	sw
𮉬	sz
𮉭	sm
𮉮	sc
𮉯	sj
𮉰	rk
𮉱	ff
𮉴	fz
𮉶	fq qf
𮉷	fy
𮉸	fa
𮉹	fb
𮉺	fb pf
𮉼	ke pe
𮉾	bj
𮉿	sq
𮊁	kg
𮊂	ss
𮊄	gm
𮊆	rd
𮊇	kd ou
𮊈	sv
𮊌	ww
𮊎	gj
𮊐	sm
𮊑	sf
𮊒	sa
𮊓	gn
𮊔	gw
𮊖	wh
𮊗	ki
𮊘	ww
𮊚	st
𮊛	sm
𮊜	kh
𮊝	sm
𮊞	kq
𮊠	sq
𮊢	bw
𮊤	wy yw
𮊥	yw
𮊦	ys
𮊩	uy yu
𮊪	uy yz
𮊫	yd
𮊬	yl
𮊭	yd
𮊰	gc
𮊱	gy yg
𮊲	gy yg
𮊳	ya
𮊴	ym
𮊵	wf yf
𮊶	gy
𮊷	yf
𮊸	yo
𮊹	vy yv
𮊻	yw
𮊿	yx
𮋀	yp
𮋁	yh
𮋂	yj
𮋅	iy yy
𮋇	jy yj
𮋈	xy yx
𮋉	by yf
𮋊	dy yu
𮋋	hy yh
𮋌	yx
𮋍	uy yx
𮋎	yg
𮋏	sy yu
𮋑	yp yy
𮋒	my yt
𮋔	ly yl
𮋕	ys
𮋖	uy ux yh
𮋙	uy yk
𮋛	lk
𮋝	lo
𮋟	dy uy
𮋡	we
𮋢	ex
𮋤	lf
𮋥	lm
𮋦	lo
𮋧	lk
𮋨	ll
𮋫	gl
𮋭	ey
𮋰	ej ew
𮋱	ek
𮋹	eb xe
𮋺	eu ye
𮋻	ey ue
𮋼	ej
𮋾	ew je
𮋿	eb
𮌁	ad yd
𮌃	ya
𮌄	ya
𮌅	uy yu
𮌆	ya
𮌇	jd
𮌈	ou uo
𮌉	xr
𮌋	oi
𮌌	oy
𮌍	or
𮌎	go or
𮌏	og
𮌐	ho oe
𮌑	rh
𮌒	om
𮌓	oa
𮌔	ob wo
𮌖	oo
𮌗	ob
𮌘	oz
𮌚	of
𮌛	ou su
𮌝	oy
𮌞	oy
𮌟	oq
𮌠	oy
𮌡	ob
𮌢	ox
𮌤	ox
𮌧	oh
𮌨	op
𮌩	of
𮌪	oj
𮌫	oe ye
𮌯	ox
𮌰	oj
𮌲	oj
𮌳	ao oa
𮌴	ok
𮌶	oi
𮌷	ow
𮌹	ol
𮌻	oy
𮌿	vr
𮍀	oy
𮍁	oy
𮍃	ov
𮍄	oz
𮍆	ou
𮍈	jo oi
𮍌	aa kk
𮍎	ii
𮍏	iw wi
𮍑	iv
𮍒	dd
𮍖	zp
𮍙	zp
𮍛	zk
𮍜	ze
𮍝	nw zw
𮍞	zu
𮍠	vd
𮍡	vf
𮍢	hv ve
𮍣	vf
𮍤	pv vb
𮍥	rx
𮍧	pw
𮍨	hj je
𮍩	ke
𮍫	pb
𮍬	pb
𮍭	pb
𮍮	pb
𮍯	je
𮍰	jb pb
𮍱	pb
𮍲	pd
𮍵	uq
𮍷	us
𮍹	bu ub
𮍺	uu
𮍻	hu uh
𮍼	uf
𮍾	ut
𮎁	ai
𮎂	si
𮎃	vr
𮎆	vy
𮎉	vu
𮎊	vf
𮎋	vb
𮎌	vz
𮎎	vl
𮎐	vg
𮎑	vv
𮎗	vm
𮎙	gx xg
𮎚	gx xg
𮎛	ds
𮎜	rb
𮎟	co
𮎢	cy
𮎣	ca
𮎦	cq
𮎧	qb
𮎨	cs
𮎩	cb
𮎪	fb
𮎬	cp
𮎭	cy
𮎮	cv
𮎰	ce
𮎱	cp
𮎲	cq
𮎴	cx
𮎵	cv
𮎷	ce
𮎸	cq
𮎹	ct tk
𮎺	ci ta
𮎻	ce
𮎼	ca
𮎽	ci
𮎾	ct
𮎿	cr
𮏀	cm
𮏁	cm
𮏂	cx
𮏄	ck
𮏇	ce
𮏉	cw
𮏌	cd
𮏍	cb
𮏑	cb
𮏒	co
𮏔	cw
𮏖	cf
𮏗	cb
𮏘	cb
𮏜	cp
𮏞	ce
𮏠	cd
𮏢	cq
𮏣	cp
𮏥	co
𮏦	cm
𮏧	cu
𮏨	co
𮏩	cr
𮏪	co
𮏭	cc
𮏯	cd
𮏰	cb
𮏳	cc
𮏴	cl
𮏵	cy
𮏶	ca
𮏹	ch
𮏺	cd
𮏻	cs
𮏼	cy
𮏿	cm
𮐀	cp
𮐂	cw
𮐄	ct
𮐅	cz
𮐆	yb
𮐇	ck
𮐉	ca
𮐊	cm
𮐋	cm mm
𮐎	co
𮐏	cu
𮐐	cg
𮐑	cx
𮐒	cj cw
𮐓	ct
𮐔	cy
𮐖	cb
𮐚	cf
𮐟	cm
𮐡	cf
𮐢	cf
𮐣	ci
𮐥	cd
𮐧	cb
𮐨	cy
𮐩	cv
𮐪	cm
𮐬	cc
𮐯	cc
𮐰	ce
𮐱	cu
𮐵	ct
𮐷	cy
𮐹	ch
𮐾	cq
𮑀	cb
𮑁	cq
𮑂	cu
𮑃	cm
𮑆	cr
𮑈	cy
𮑊	cd
𮑍	ci
𮑑	cf
𮑒	cq
𮑖	cu
𮑘	cy
𮑙	cs
𮑚	cx
𮑛	cy
𮑜	ch
𮑠	cx
𮑢	cv
𮑣	cp
𮑧	cw
𮑩	ck
𮑪	cw
𮑭	cx
𮑮	cy
𮑯	ck
𮑰	cb
𮑱	cb
𮑲	cu
𮑵	cy
𮑶	ch
𮑸	cj
𮑹	cu
𮑺	cc
𮑻	ct
𮑼	cc
𮑾	cu
𮑿	ci
𮒁	ck
𮒃	cv
𮒄	cu
𮒆	cv
𮒇	cl
𮒈	cw
𮒋	cc
𮒌	cu
𮒍	cj
𮒒	cn
𮒓	ch
𮒕	cq
𮒗	cy
𮒘	cy
𮒙	ch
𮒛	cy
𮒝	cj
𮒟	cb
𮒣	cj
𮒤	cx
𮒥	cd
𮒧	ci
𮒩	cu
𮒫	ch
𮒭	cl
𮒯	cr
𮒰	ck
𮒲	cw
𮒳	cf
𮒵	cy
𮒶	cz
𮒷	cm
𮒸	cy
𮒹	cy yy
𮒼	cd
𮓀	cg
𮓁	cv
𮓂	cb
𮓃	sn
𮓅	ms
𮓆	cc
𮓈	cy
𮓉	hw
𮓋	cx
𮓌	sm
𮓍	cl
𮓒	cm
𮓓	cd
𮓔	cl
𮓕	cf
𮓖	cq
𮓗	bt
𮓘	ab
𮓙	aj
𮓚	ay by
𮓛	ht
𮓜	aj
𮓝	hb
𮓞	ao
𮓟	aj hj
𮓠	aa
𮓡	ay
𮓢	bo ob
𮓣	ha
𮓤	hn
𮓥	aw
𮓦	hh
𮓪	xy
𮓫	hj xh
𮓬	hx
𮓮	hx
𮓯	hi
𮓰	vd
𮓱	pa
𮓳	im
𮓵	ir ri
𮓶	ig
𮓸	iy yi
𮓹	iq
𮓻	ib
𮓼	id
𮓾	gi ig
𮓿	it
𮔀	bi ib
𮔂	ij
𮔃	id pd
𮔅	if
𮔇	ip wi
𮔈	ik
𮔉	bi ib
𮔊	il
𮔋	ip
𮔎	iq
𮔑	il
𮔕	ij ji
𮔖	ij iw
𮔗	ic
𮔘	ib
𮔙	io
𮔚	il
𮔝	if
𮔡	im
𮔣	iu
𮔥	ix
𮔧	iw mi
𮔨	ic
𮔩	iv
𮔬	ij
𮔭	it pt
𮔮	io
𮔰	wi
𮔲	ii
𮔵	ia
𮔷	ih
𮔸	iq pq
𮔻	iy
𮔼	ij ji
𮔽	ii pi
𮔾	id
𮕁	di id
𮕅	il pl
𮕆	is
𮕌	ib
𮕍	iu
𮕐	ij
𮕑	ii si
𮕒	iq
𮕕	ii pi
𮕗	if
𮕘	ij
𮕙	ib
𮕛	ii ti
𮕜	am
𮕝	xd
𮕞	dx xd
𮕡	xp yx
𮕢	xi
𮕤	yg
𮕥	yd
𮕦	ry yr
𮕧	yy
𮕩	yi
𮕪	vy yv
𮕫	ye
𮕭	yu
𮕮	fy yf
𮕱	ya
𮕵	ry yk
𮕶	yj
𮕷	ry yk
𮕹	ay yf
𮕺	yt
𮕻	yo
𮕾	yd
𮖀	yh
𮖁	yl
𮖄	yy
𮖇	ly yl
𮖊	by yy
𮖋	lp
𮖎	ny yn
𮖐	gy yg
𮖑	vy yv
𮖓	yz
𮖖	fy yu
𮖗	yy
𮖙	yu
𮖚	wp
𮖝	yq
𮖠	ya
𮖡	yy
𮖢	cv yv
𮖣	yo
𮖥	ym
𮖭	wy yg
𮖰	yk
𮖱	yj yy
𮖲	ye
𮖳	yi
𮖸	yc
𮖺	yv
𮖻	yu
𮖽	yq
𮖿	xl
𮗀	xd
𮗁	xd
𮗂	xa xb
𮗃	xd
𮗄	xf
𮗅	yx
𮗆	xb
𮗈	xw
𮗊	xj
𮗌	xq
𮗍	jy yj
𮗎	jg gj
𮗒	aj jg
𮗓	aj jb
𮗖	aj jb
𮗘	je
𮗚	cj jv
𮗛	cj jo
𮗜	jb pj
𮗝	jy yj
𮗟	ry
𮗠	dy
𮗤	ju
𮗧	jv
𮗨	ju
𮗩	jw
𮗬	jv
𮗭	jy
𮗮	rf
𮗯	jp
𮗰	jw
𮗳	jh
𮗶	jj
𮗷	ye
𮗸	yj
𮗺	wy yw
𮗻	yj
𮗼	ym
𮗽	yb
𮗾	yb
𮗿	gy yd
𮘂	yy
𮘃	my ym
𮘅	yg
𮘆	hy yh
𮘇	yp
𮘈	yk
𮘉	yx
𮘊	yy
𮘌	yp
𮘍	yd
𮘎	wk yy
𮘐	xy ye
𮘑	yv
𮘔	yq
𮘕	yw
𮘗	yf
𮘙	yg
𮘤	ay yb
𮘦	yj
𮘧	by yb
𮘨	yk
𮘩	yq
𮘪	yj
𮘭	yq
𮘯	ya
𮘰	yv
𮘴	yw
𮘵	yy
𮘷	yu
𮘸	yp
𮘹	yh
𮘻	yy
𮘼	yu
𮘽	hp yp
𮘾	yx
𮘿	yl
𮙀	ya
𮙂	ym
𮙃	ym
𮙆	yy
𮙇	yl
𮙈	yw
𮙊	yy
𮙋	dy
𮙎	gh
𮙐	gk kg
𮙔	df
𮙖	dq qd
𮙚	ku uk
𮙛	au up
𮙝	rd
𮙞	bd
𮙟	au
𮙠	rd
𮙢	dd
𮙣	um
𮙤	uj
𮙦	vg
𮙧	vr
𮙨	vf
𮙩	vj
𮙪	vb
𮙫	vd
𮙬	vt
𮙭	br rb
𮙮	bc cb
𮙯	br
𮙱	ba
𮙲	ba db
𮙴	bg
𮙷	bu ub
𮙸	mb
𮙹	be tb
𮙺	db
𮙻	bd
𮙼	bf
𮙾	bx
𮙿	bl lb
𮚀	bm
𮚁	bq qb
𮚃	bv rb
𮚄	bs sb
𮚅	bl lb
𮚆	bj
𮚇	bx
𮚉	bw
𮚊	gb
𮚋	ab
𮚌	bt tb
𮚎	bn
𮚏	bh cb
𮚐	bo
𮚑	bu dx
𮚒	bm
𮚕	bp ib
𮚖	bo
𮚗	bx
𮚘	bk wb
𮚚	bw ib
𮚛	bv
𮚞	ba
𮚢	by
𮚥	by gb
𮚦	bj jb
𮚧	bs mb
𮚨	og wg
𮚩	bm
𮚪	bb
𮚭	oi
𮚮	bi
𮚰	bf ff
𮚱	if
𮚴	zf
𮚶	zx
𮚸	zg
𮚹	zx
𮚺	zg
𮚼	zc
𮚿	zx
𮛀	zg
𮛅	uz zu
𮛇	zw
𮛍	fz zf
𮛎	zd
𮛕	zy
𮛖	nz zn
𮛗	zd
𮛘	zy
𮛙	zb
𮛚	zb
𮛜	zh
𮛡	zw
𮛢	zn
𮛣	uz zu
𮛤	zi
𮛥	zo
𮛦	zx
𮛧	zx
𮛪	zf
𮛬	zd
𮛯	zz
𮛰	zv
𮛲	zx
𮛴	zm
𮛵	zy
𮛸	zi
𮛻	zp
𮛾	zy
𮛿	wz zw
𮜀	zb
𮜂	zr
𮜃	zm
𮜆	zj
𮜉	zb
𮜋	iz zu
𮜌	zt
𮜍	zy
𮜑	zy
𮜒	zc
𮜓	zq
𮜕	zp
𮜖	zu
𮜙	zy
𮜞	zb
𮜟	gz zd
𮜣	cb zb
𮜧	zx
𮜨	zu
𮜩	zh
𮜳	uk
𮜶	uu
𮜻	un
𮜼	uq
𮜽	uq
𮜾	uv
𮝀	iq
𮝁	oi
𮝅	iy
𮝇	iy
𮝋	ij ji
𮝍	ii
𮝏	ci ic
𮝐	iu
𮝑	ix
𮝕	hi iw
𮝖	ix
𮝗	iq
𮝘	ti
𮝙	ii
𮝛	io
𮝞	iy
𮝟	ix
𮝡	ii
𮝢	io
𮝦	iq yq
𮝩	im
𮝪	gi ig
𮝬	iv
𮝭	ie
𮝰	ib
𮝲	iw sw
𮝴	ig
𮝵	ie
𮝷	ib
𮝸	id
𮝹	ih iy
𮝺	ig
𮝻	uf
𮝼	lx xk
𮝾	ip
𮝿	ig ui
𮞀	xn
𮞁	zs
𮞂	zy
𮞄	zk
𮞅	zp
𮞆	zj
𮞉	zh
𮞊	zl
𮞋	zt
𮞎	zn
𮞏	zj
𮞑	zg
𮞒	zm
𮞔	zr
𮞖	gg
𮞗	zj
𮞘	zy
𮞙	zr
𮞚	zw
𮞛	zy
𮞝	zx
𮞞	zu
𮞟	zv
𮞠	zp
𮞡	zw
𮞣	zi
𮞤	zn
𮞦	zw
𮞨	zg
𮞩	zw
𮞪	zk
𮞫	zy
𮞯	zo
𮞰	zq
𮞳	zy
𮞵	zy
𮞶	zl
𮞷	zk
𮞸	zo
𮞹	uy zy
𮞺	zu
𮞻	zt
𮞼	zj
𮞽	zf
𮞾	zf
𮟀	zl
𮟁	zv
𮟃	zp
𮟅	zw
𮟆	zv
𮟈	zv
𮟋	zw
𮟏	zu
𮟐	zg
𮟖	zy
𮟗	zf
𮟘	zy
𮟙	zj
𮟚	zf
𮟜	zk
𮟝	mi zi
𮟞	zr
𮟠	zi
𮟣	zr
𮟤	zl
𮟦	zu
𮟩	zl
𮟪	ye
𮟭	ge
𮟮	le
𮟯	ke
𮟰	ce
𮟱	ke
𮟲	be
𮟴	xe
𮟵	be
𮟺	hy yh
𮟽	de
𮟾	ay yc
𮟿	me
𮠃	ny yn
𮠄	de
𮠆	ce
𮠊	ke
𮠌	de
𮠍	le
𮠎	wy
𮠐	je
𮠑	ye
𮠓	be
𮠔	ie
𮠕	as
𮠖	ry yr
𮠘	yj
𮠙	ye
𮠚	rs
𮠜	yv
𮠝	yy
𮠞	yc
𮠟	yb
𮠤	yr
𮠨	yd
𮠫	yb
𮠬	yw
𮠭	gy yg
𮠮	yz
𮠳	yc
𮠵	yv
𮠺	yd
𮠼	yq
𮠾	yd
𮠿	yj
𮡁	yb
𮡂	qx
𮡃	qy
𮡄	yx
𮡅	yy
𮡆	dy yd
𮡉	ry yb
𮡊	yc
𮡌	yp
𮡍	yx
𮡑	um
𮡕	vy
𮡜	lg
𮡞	uv
𮡟	li yl
𮡠	li yl
𮡡	vn
𮡤	jy
𮡦	jp
𮡧	jq
𮡨	jw
𮡪	ja
𮡫	js
𮡬	jb
𮡯	je
𮡱	je
𮡳	jy
𮡴	jy
𮡶	jy
𮡸	jj
𮡹	ji
𮡺	jt
𮡻	jt
𮡼	jd
𮡽	jf
𮢀	jy
𮢁	jj
𮢂	jy
𮢃	jg
𮢄	ee je
𮢍	jh
𮢏	jg
𮢑	jk
𮢕	je
𮢖	js
𮢚	jm
𮢛	jy
𮢜	jz
𮢞	qq
𮢟	jv
𮢠	jb
𮢡	jo
𮢢	jy
𮢦	jx
𮢧	jb
𮢨	jw
𮢩	jx
𮢪	jg
𮢬	jw
𮢭	jb
𮢮	jo
𮢯	jz
𮢱	jy
𮢴	jg
𮢷	jk
𮢸	bj jw
𮢹	ji
𮢻	jj
𮢾	jg
𮢿	jo
𮣀	jy
𮣁	jm
𮣆	jb
𮣊	jb
𮣋	jt tj
𮣌	jl
𮣍	jy
𮣎	jx
𮣏	jm
𮣐	jp
𮣑	jc
𮣔	jd md
𮣕	jo
𮣖	jt
𮣗	jd
𮣙	jv
𮣜	jl
𮣝	jh
𮣞	jq
𮣡	cj ju
𮣢	jc
𮣤	jh
𮣪	jj
𮣬	js
𮣭	ji
𮣰	jy
𮣲	jg
𮣳	jh js
𮣴	jy
𮣵	jv
𮣶	jl
𮣷	ju
𮣹	iy
𮣻	iu ui
𮤃	ip
𮤄	il
𮤅	ig
𮤆	iw
𮤉	mq
𮤊	mc
𮤋	my
𮤍	mt
𮤐	mj
𮤑	my
𮤒	mq
𮤕	mb
𮤖	mf
𮤗	ml
𮤘	mu
𮤙	mk
𮤚	md
𮤜	my
𮤝	my
𮤞	mz
𮤟	mj
𮤡	mx
𮤥	mj
𮤦	ma
𮤨	mf
𮤪	mt
𮤫	md
𮤬	mt
𮤭	mx
𮤮	tm
𮤯	mn
𮤲	mb
𮤴	mw
𮤷	mh
𮤹	eq
𮤺	eq
𮤻	eu
𮤾	es
𮤿	ej
𮥀	eo
𮥂	es
𮥇	ex
𮥈	eh
𮥋	ey
𮥍	ek
𮥏	es
𮥑	ex
𮥒	ej
𮥓	eu
𮥕	ec
𮥗	ei
𮥘	ej ew
𮥙	ey
𮥚	ex
𮥛	en
𮥜	fz
𮥝	em
𮥟	el
𮥠	ex
𮥣	eu
𮥤	et
𮥭	eb
𮥯	ek
𮥰	eq
𮥲	ex
𮥴	al
𮥵	lu vl
𮥶	ra
𮥷	vw wv
𮥸	rn vn
𮥹	wv
𮥺	vi
𮥼	vj
𮥽	vy yv
𮥾	pv vp
𮥿	lv wv
𮦀	qv vq
𮦃	cv vv
𮦄	ae
𮦆	ar
𮦇	ty yt
𮦊	yk
𮦋	yo
𮦌	yv
𮦍	ye
𮦐	ym
𮦖	yy
𮦙	yu
𮦚	yb
𮦟	lh
𮦠	ym
𮦢	yw
𮦣	yl
𮦥	yt
𮦦	yl
𮦮	by yb
𮦵	yc
𮦷	yv
𮦸	ay
𮦻	uh yv
𮧃	qh
𮧇	fu gf
𮧊	mq
𮧌	mc um
𮧎	am mo
𮧑	my
𮧒	bm mb
𮧓	cu
𮧕	gu
𮧖	gf
𮧗	dg gf
𮧘	gg
𮧚	gl
𮧜	gq
𮧟	gy
𮧢	gd
𮧣	gb
𮧤	gv vv
𮧨	gj
𮧩	gl
𮧪	gk
𮧫	gb
𮧬	gw
𮧮	aj
𮧯	aj
𮧰	aj
𮧲	wj
𮧳	wb
𮧴	wi
𮧵	wh
𮧸	yp
𮧻	ys
𮧽	yy
𮨄	ky yy
𮨆	qy yq
𮨇	iy yd
𮨈	py
𮨌	dy yj
𮨍	ql
𮨏	uy yu
𮨑	qy
𮨒	vy yv
𮨓	dy yd
𮨔	my yj
𮨗	uy yf
𮨚	yy
𮨛	ya yy
𮨜	qy yq
𮨞	dy yx
𮨟	hy ys
𮨡	uy ym
𮨢	uy yb
𮨣	py yp
𮨤	yy
𮨧	fw
𮨨	fl lf
𮨩	fi
𮨬	fx
𮨲	fg
𮨳	fx
𮨴	lf
𮨵	fp
𮨶	fq
𮨷	ug
𮨹	uw
𮨻	ut
𮨽	yl
𮨾	uy
𮨿	ub
𮩁	uj
𮩂	ub
𮩄	ku uk
𮩅	ub
𮩇	uq
𮩉	uy
𮩊	ui
𮩋	uj uw
𮩎	uc
𮩏	uy
𮩒	um
𮩓	ua
𮩔	ud
𮩕	gu uv
𮩘	uy
𮩙	uh
𮩚	mu um
𮩛	ub
𮩜	ua
𮩝	uh
𮩞	uy
𮩡	uv
𮩥	ux
𮩦	qu
𮩮	xd
𮩲	mb
𮩳	mw
𮩴	ac
𮩵	aj
𮩶	mr
𮩸	av
𮩻	mt tm
𮩼	mn
𮩾	mu
𮪁	hm mh
𮪃	mz
𮪄	my
𮪇	mk
𮪈	mw
𮪊	mq
𮪋	my
𮪍	mq
𮪏	mg
𮪒	my
𮪔	mt
𮪕	ml
𮪘	mg mm
𮪚	mm
𮪛	mj
𮪜	mb
𮪝	mc
𮪞	mm
𮪠	mc
𮪡	mm
𮪢	mj
𮪣	mw
𮪤	mc
𮪥	md
𮪨	gu
𮪩	gy yg
𮪪	gj
𮪫	go
𮪬	gb
𮪭	gw
𮪱	gx
𮪲	gt
𮪷	gu mg
𮪸	gp
𮪹	gd
𮪺	gs sg
𮪻	gi
𮫀	ig
𮫂	in
𮫃	il
𮫄	id
𮫅	is
𮫇	ic
𮫉	iw
𮫋	iu if
𮫍	if
𮫏	ip
𮫑	iu
𮫒	id
𮫓	ih
𮫔	dj
𮫕	dm
𮫖	ke
𮫗	my
𮫘	pi pp
𮫙	cg
𮫚	gg
𮫛	ga gg
𮫜	gy
𮫝	gu ug
𮫟	gy yg
𮫠	bg gb
𮫢	gw
𮫣	gy
𮫤	gu
𮫧	gl lg
𮫨	gh
𮫩	mw
𮫫	gu
𮫬	dh
𮫭	bd
𮫮	rd
𮫯	rh
𮫱	yp
𮫲	bo
𮫳	yd
𮫵	yd
𮫶	ys
𮫹	yj
𮫺	yb
𮫻	yb
𮫽	yb
𮫿	yy
𮬀	yx
𮬁	yd
𮬃	yi
𮬆	yx
𮬇	yu
𮬈	gy yw
𮬉	yg
𮬋	ky
𮬌	yh
𮬎	yy
𮬑	yf
𮬒	yz
𮬓	yw
𮬖	yb
𮬗	ym
𮬘	yc
𮬙	yd
𮬚	ym
